"(60, 38)","(73, 30)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 29), (76, 29), (75, 29), (74, 29), (73, 30)]"
"(60, 38)","(73, 31)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 30), (76, 31), (75, 32), (74, 32), (73, 31)]"
"(60, 38)","(74, 29)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 29), (76, 29), (75, 29), (74, 29)]"
"(60, 38)","(74, 32)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 30), (76, 31), (75, 32), (74, 32)]"
"(60, 38)","(74, 39)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 30), (79, 31), (78, 32), (78, 33), (78, 34), (78, 35), (77, 36), (76, 37), (75, 38), (74, 39)]"
"(60, 38)","(75, 29)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 29), (76, 29), (75, 29)]"
"(60, 38)","(75, 32)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 30), (76, 31), (75, 32)]"
"(60, 38)","(75, 41)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 30), (79, 31), (78, 32), (78, 33), (78, 34), (78, 35), (78, 36), (78, 37), (78, 38), (78, 39), (77, 40), (76, 41), (75, 41)]"
"(60, 38)","(76, 30)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 29), (76, 30)]"
"(60, 38)","(76, 31)","[(60, 39), (61, 39), (62, 39), (63, 39), (64, 39), (64, 38), (64, 37), (64, 36), (64, 35), (64, 34), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (64, 28), (64, 27), (65, 26), (66, 25), (67, 24), (68, 23), (69, 23), (70, 23), (71, 23), (72, 23), (73, 23), (74, 23), (75, 23), (76, 23), (77, 23), (78, 23), (79, 23), (80, 23), (81, 23), (82, 23), (83, 23), (83, 24), (83, 25), (83, 26), (83, 27), (83, 28), (82, 29), (81, 29), (80, 29), (79, 29), (78, 29), (77, 30), (76, 31)]"
